"SMILES","CASRN","RECORDID","MOLECULEID","EXTERNALID","N","NAME","NAME","INTRODUCER","MODIFIER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Ionizable centre (smiles)","pKa predicted value","UNIT {pKa predicted value}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","IC group given","Temperature","UNIT {Temperature}","COMMENTS","INCHI_KEY"
"COC1=CC=CC=C1N","-","R933214","M11807","-","-","2-Methoxyaniline","-","Koerner","charochkina","A3555","12767145","-","-","4.53","Log unit","4.53","Log unit","Nc1ccccc1OC","5.064","Log unit","0","4.4238","Log unit","","","-","-","VMPITZXILSNTON-UHFFFAOYSA"
"COC(=O)C1=CC=CC=C1N","-","R933215","M19421","-","-","2-METHOXYCARBONYLANILINE","-","Koerner","charochkina","A3555","12767145","-","-","2.23","Log unit","2.23","Log unit","Nc1ccccc1C(=O)OC","2.341","Log unit","0","2.1222","Log unit","","","-","-","VAMXMNNIEUEQDV-UHFFFAOYSA"
"COC(=O)CC1=NC2=C(N1)C=CC=C2","-","R933216","M124448","-","-","2-METHOXYCARBONYLMETHYLBENZIMIDAZOLE","-","Koerner","charochkina","A3555","12767145","-","-","4.6","Log unit","4.6","Log unit","n1c([nH]c2ccccc12)CC(=O)OC","6.07","Log unit","0","5.1682","Log unit","","","-","-","XRCSXYDSFRSLEX-UHFFFAOYSA"
"COC(=O)C1=NC=CC=C1","-","R933217","M26923","-","-","2-METHOXYCARBONYLPYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","2.21","Log unit","2.21","Log unit","n1c(cccc1)C(=O)OC","3.861","Log unit","0","2.1896","Log unit","","","-","-","NMMIHXMBOZYNET-UHFFFAOYSA"
"COCCN","-","R933218","M443","-","-","2-Methoxyethylamine","-","Koerner","charochkina","A3555","12767145","-","-","9.45","Log unit","9.45","Log unit","NCCOC","9.674","Log unit","0","9.4466","Log unit","","","-","-","ASUDFOJKTJLAIK-UHFFFAOYSA"
"COC1=NC=CC=C1","-","R933219","M25501","-","-","2-METHOXYPYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","3.06","Log unit","3.06","Log unit","n1c(cccc1)OC","5.285","Log unit","0","2.9592","Log unit","","","-","-","IWTFOFMTUOBLHG-UHFFFAOYSA"
"CC1=NC2=C(N1)C=C(C(=C2)N(=O)=O)N(=O)=O","-","R933220","M124449","-","-","2-METHYL-5,6-DINITROBENZIMIDAZOLE","-","Koerner","charochkina","A3555","12767145","-","-","0.7","Log unit","0.7","Log unit","n1c([nH]c2cc(c(cc12)N(=O)=O)N(=O)=O)C","2.5","Log unit","0","4.4873","Log unit","","","-","-","HQZNVJXYOZAFJI-UHFFFAOYSA"
"CC1=NC2=C(N1)C=CC=C2","-","R933221","M6094","-","-","2-methylbenzimidazole","-","Koerner","charochkina","A3555","12767145","-","-","6.19","Log unit","6.19","Log unit","n1c([nH]c2ccccc12)C","6.532","Log unit","0","6.3275","Log unit","","","-","-","LDZYRENCLPUXAX-UHFFFAOYSA"
"CC1=NC=CN1","-","R933222","M6531","-","-","2-Methylimidazole","-","Koerner","charochkina","A3555","12767145","-","-","7.85","Log unit","7.85","Log unit","n1c([nH]cc1)C","7.761","Log unit","0","7.5161","Log unit","","","-","-","LXBGSDVWAMZHDD-UHFFFAOYSA"
"C[C@@H]1CCCCN1","-","R933223","M124450","-","-","2-METHYLPIPERIDINE","-","Koerner","charochkina","A3555","12767145","-","-","10.95","Log unit","10.95","Log unit","N1C(CCCC1)C","10.744","Log unit","0","10.4816","Log unit","","","-","-","NNWUEBIEOFQMSS-ZCFIWIBFSA"
"CC1=NC=CC=C1","-","R933224","M1014","-","-","2-METHYLPYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","5.96","Log unit","5.96","Log unit","n1c(cccc1)C","6.063","Log unit","0","5.8117","Log unit","","","-","-","BSKHPKMHTQYZBB-UHFFFAOYSA"
"CC1=NC=CS1","-","R933225","M28415","-","-","2-Methylthiazole","-","Koerner","charochkina","A3555","12767145","-","-","3.4","Log unit","3.4","Log unit","n1c(scc1)C","3.229","Log unit","0","3.5802","Log unit","","","-","-","VZWOXDYRBDIHMA-UHFFFAOYSA"
"CSC1=NC=CC=C1","-","R933226","M34447","-","-","2-METHYLTHIOPYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","3.59","Log unit","3.59","Log unit","n1c(cccc1)SC","5.352","Log unit","0","3.4906","Log unit","","","-","-","VLQBSKLZRSUMTJ-UHFFFAOYSA"
"NC1=CC2=C(C=CC=C2)C=C1","-","R933227","M4877","-","-","2-NAPHTHYLAMINE","-","Koerner","charochkina","A3555","12767145","-","-","4.11","Log unit","4.11","Log unit","Nc1cc2ccccc2cc1","3.782","Log unit","0","4.2546","Log unit","","","-","-","JBIJLHTVPXGSAM-UHFFFAOYSA"
"NC1=C(C=CC=C1)N(=O)=O","-","R933228","M2166","-","-","2-nitroaniline","-","Koerner","charochkina","A3555","12767145","-","-","-0.28","Log unit","-0.28","Log unit","Nc1c(cccc1)N(=O)=O","-1.588","Log unit","0","-0.2056","Log unit","","","-","-","DPJCXCZTLWNFOH-UHFFFAOYSA"
